sim,url
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/57150.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/57126.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/57100.htm
0.1,http://news.buaa.edu.cn/../info/1002/57043.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/57007.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56960.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56952.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56950.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56928.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56903.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56901.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56900.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56899.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56877.htm
0.047619047619047616,http://news.buaa.edu.cn/../info/1002/56857.htm
